Basin Hopping of distributed Pt atoms on Amorphous Silica
frame,symbol,x,y,z
0,Si,16.27445858,8.40733990,5.32573620
0,O,3.33503701,13.30506041,8.54386680
0,O,11.50981435,3.52074474,7.97083590
0,O,15.32195763,8.75179779,6.63137190
0,O,10.75136515,20.36195423,4.56203670
0,O,5.42082581,18.26076110,3.04591380
0,O,13.31789735,15.87758319,5.98931760
0,O,15.78451537,18.83243283,2.48108370
0,O,15.30505566,18.35896369,9.30175740
0,O,15.51536753,14.64309746,6.84835140
0,Si,18.43149240,16.55430388,4.35667500
0,Si,18.40817196,19.74021843,8.24658780
0,O,5.22056955,6.55625316,6.16255950
0,O,2.47581783,1.43303040,3.05445630
0,O,11.97879056,3.69382948,10.91184780
0,O,16.92957042,14.64866013,11.67349710
0,O,4.18933537,5.89686234,8.54044980
0,O,13.12641300,11.50446563,4.27330020
0,Si,18.86645072,11.40455145,11.01196590
0,O,6.93986371,9.88572749,7.11931950
0,O,7.04041974,7.03335943,4.36009200
0,O,6.17392629,20.54744801,4.19129220
0,O,10.83437736,12.82089382,4.65361230
0,O,18.45053386,9.81277089,10.89886320
0,O,12.56415503,1.24133210,9.69744600
0,Si,13.12769669,2.64269805,10.33027440
0,Si,16.34998258,21.05621873,6.10652070
0,Si,12.80827083,12.05730984,7.92299790
0,Si,13.18118394,13.39983982,10.82300580
0,Si,20.64329716,1.58044126,6.44377860
0,Si,6.93323129,3.16430571,4.21452780
0,Si,6.29074245,19.59858420,7.45076850
0,O,9.41268626,2.94778932,6.45539640
0,O,10.84357717,17.01814531,10.82061390
0,O,10.83994003,8.47024091,11.95915830
0,O,2.18121005,17.97021836,10.62823680
0,O,6.75436993,9.12471090,9.67660230
0,O,16.56778266,2.84980068,11.27644170
0,O,10.54768570,15.30441382,5.80309110
0,O,0.08493775,19.01001050,5.51196270
0,O,18.73380234,16.25969610,12.81511680
0,O,12.93578444,12.53826720,9.47089890
0,Si,15.91823350,18.50936984,4.09083240
0,Si,16.63966953,14.63839058,8.02960830
0,Si,20.40581377,18.09773196,6.35220300
0,O,17.01664766,17.30719041,4.17113190
0,O,18.82858175,7.22206244,11.29079310
0,O,17.39105841,9.66621582,5.24099460
0,O,13.31276258,5.42232346,7.59462420
0,O,19.22224790,17.49974451,5.40364380
0,O,18.82515856,2.18548904,9.97012260
0,Si,15.54489249,2.01946461,12.23080980
0,Si,3.50448462,18.85767881,11.09397390
0,Si,1.49464771,0.24283212,2.53746420
0,O,9.69959186,19.49396314,11.28600930
0,O,2.07851454,1.25866197,10.73006340
0,O,0.94158955,9.33609251,6.93958530
0,O,13.01366187,17.20642043,9.30824970
0,O,0.08301221,2.96490524,6.55448940
0,O,4.66002317,6.18355400,3.53010270
0,Si,9.86668603,6.94050556,7.80955350
0,Si,0.66153031,5.99934391,9.41075970
0,Si,9.91354086,3.75929788,7.77914220
0,Si,4.33289515,7.07850266,7.40839770
0,Si,1.91334591,14.00852472,9.04445730
0,Si,2.95784493,2.93794767,3.45390360
0,O,9.41011887,18.44839437,5.88304890
0,O,8.47687333,0.27834765,4.65668760
0,O,2.56738800,2.95121251,7.12820370
0,O,2.36820148,20.14886102,6.07269240
0,O,6.83374501,19.01921030,8.92896270
0,O,7.61273332,16.64009742,4.93448970
0,O,12.36154532,0.29289618,7.21602060
0,O,6.47345489,1.79866924,5.03426610
0,Si,0.95421254,10.95162141,6.77249400
0,O,8.56202503,7.42146291,8.64603510
0,O,10.84464691,4.48479894,4.82924610
0,O,14.54575066,6.83930768,2.09325420
0,O,18.16191666,15.02649407,4.92458040
0,O,18.05237477,14.08832770,7.41352320
0,O,13.12619905,5.42403505,3.98285520
0,O,8.18012607,16.54767146,2.36934780
0,Si,8.14696397,17.45224783,6.22099020
0,O,8.74602117,0.57958784,10.34325900
0,O,6.82454520,11.60373796,10.63472910
0,O,5.13049702,2.85365176,7.40019690
0,Si,10.01687823,21.01984740,10.70990310
0,Si,13.80249184,18.49845844,8.71745040
0,Si,5.78325542,6.05368695,4.71785190
0,Si,13.76847395,0.53594224,3.17883510
0,Si,12.29736062,21.28771155,8.80492560
0,Si,3.48758265,10.13882916,3.01140210
0,Si,11.47408487,11.39257030,4.11304290
0,Si,9.96253519,0.31215159,4.01634180
0,O,15.89491306,11.69445234,4.37102640
